ID,collection_date,longitude,latitude,days_death
1,2024-02-04,4004015.87453204,2959204.8747457,0
2,2024-02-22,4003786.44531121,2955489.10320492,18
3,2024-03-08,4004857.0149496,2957774.01015125,33
6,2024-03-08,4003360.5942097,2959592.67804761,33
4,2024-03-13,3999207.80693268,2956632.16415192,38
5,2024-03-27,4001154.06038463,2955775.87261358,52
10,2024-04-05,4007100.68957937,2957635.69419474,61
11,2024-04-13,3997326.69284519,2957709.41571068,69
12,2024-04-16,4005358.24506243,2951906.4194431,72
14,2024-04-22,3998463.69936429,2954465.71324528,78
18,2024-04-24,4000249.61958553,2962208.3002874,80
16,2024-04-25,4010785.14423905,2951609.82972335,81
21,2024-04-29,4004401.29737393,2953396.3421205,85
24,2024-05-07,3997311.65170872,2960416.26324499,93
30,2024-05-08,3997816.45926372,2952999.51168221,94
32,2024-05-08,4008493.44286344,2954900.47085072,94
29,2024-05-11,4001049.0399243,2962251.72121653,97
43,2024-05-17,4001458.59737403,2969273.78498018,103
28,2024-05-18,3998454.58830987,2951613.07043461,104
31,2024-05-20,4007100.57726421,2959537.53768526,106
37,2024-05-26,3999861.92599174,2959776.65318213,112
39,2024-05-27,4000606.11828541,2958833.56918938,113
63,2024-05-28,4003062.81087576,2949363.69103745,114
44,2024-05-30,4009100.3621346,2959893.37556104,116
45,2024-06-01,4000258.79035522,2946756.72469094,118
47,2024-06-02,4003218.12222241,2949226.52619506,119
48,2024-06-04,4009258.49709308,2956438.95691357,121
68,2024-06-04,3992902.55809147,2956784.676532,121
51,2024-06-10,4000047.02745364,2941771.64962448,127
70,2024-06-11,4018766.38244958,2956884.70544322,128
82,2024-06-16,3995253.56956071,2939775.18923357,133
83,2024-06-18,3998952.50530484,2946617.15239147,135
107,2024-06-18,3996589.67745625,2941012.34995336,135
85,2024-06-27,3996791.54592391,2941627.35632362,144
87,2024-06-27,3999312.75559965,2970005.89258076,144
150,2024-06-27,3999952.13197397,2944612.24860791,144
84,2024-06-28,4010252.54688073,2952863.02000281,145
91,2024-06-28,4012938.94445762,2957718.27587185,145
131,2024-06-28,4001585.99675503,2945189.21143254,145
121,2024-06-29,4006284.93118619,2942483.317914,146
102,2024-06-30,4013745.97488032,2959891.28547392,147
148,2024-06-30,3995101.74098418,2928985.25966628,147
93,2024-07-01,3996056.19450006,2942532.07092124,148
104,2024-07-02,4009191.53927837,2943808.66072702,149
149,2024-07-03,3996801.20185815,2971481.58842616,150
124,2024-07-05,3999233.94677829,2935992.93415248,152
141,2024-07-05,4011116.12340393,2958213.86834769,152
115,2024-07-08,4014100.49896573,2959411.63460454,155
127,2024-07-09,4003363.19246101,2943761.98126568,156
135,2024-07-15,4008072.66745633,2944621.2381471,162
130,2024-07-16,4006216.9699365,2968481.92373463,163
166,2024-07-16,4003589.66098318,2973677.89208441,163
174,2024-07-18,4002549.94841373,2971259.73177072,165
145,2024-07-19,3994729.96264532,2952869.05316852,166
209,2024-07-19,4003493.11001868,2967318.441359,166
146,2024-07-21,4017075.7365826,2966590.20573313,168
171,2024-07-24,3993359.05750276,2929805.90267465,171
158,2024-07-25,4000675.77213213,2940133.85740593,172
181,2024-07-27,4005234.23195898,2943154.53892618,174
176,2024-07-29,3998076.07349931,2970402.69935248,176
206,2024-07-31,4012883.15596618,2952890.18508883,178
196,2024-08-01,4002202.65703325,2971600.87157646,179
215,2024-08-02,3997712.28195329,2971546.89154532,180
296,2024-08-03,4023113.80806174,2968833.35852199,181
257,2024-08-04,4003309.85313248,2974498.51617271,182
205,2024-08-07,4016699.90744695,2951901.8700347,185
255,2024-08-09,4012076.33846051,2944335.59458929,187
312,2024-08-09,3991663.60118771,2932641.25459025,187
234,2024-08-10,3990325.65605972,2940329.95032417,188
227,2024-08-11,4016201.33001917,2964282.42367418,189
250,2024-08-12,4012411.9315981,2961325.89223127,190
263,2024-08-12,3992890.46516612,2969166.01667972,190
264,2024-08-12,3989304.32277797,2951570.89389999,190
295,2024-08-12,4021262.53669021,2949362.74013131,190
245,2024-08-13,3990590.66083476,2935303.3886192,191
246,2024-08-13,3996114.02919338,2969343.20211402,191
244,2024-08-16,4012581.23283015,2929628.68651766,194
262,2024-08-17,4022189.77501035,2953765.25235153,195
305,2024-08-18,4006430.49447633,2974776.76935784,196
318,2024-08-21,4012127.47913582,2948884.34897292,199
477,2024-08-21,3994131.3989374,2973442.28602102,199
276,2024-08-22,4017061.78233798,2966011.70938692,200
362,2024-08-24,3989090.80588457,2935209.67796262,202
445,2024-08-24,3988671.20048814,2953404.31994996,202
493,2024-08-24,4007624.73029434,2937892.36980871,202
324,2024-08-25,4006561.07901473,2939969.47897077,203
420,2024-08-25,4010959.53020566,2945319.87661455,203
548,2024-08-25,3993704.87015169,2972779.28742965,203
364,2024-08-26,4003745.36915412,2947438.24550918,204
334,2024-08-27,3991851.75253008,2942256.45590477,205
345,2024-08-27,4015627.21175489,2965166.35176666,205
353,2024-08-28,3993115.14885357,2962932.61111976,206
356,2024-08-28,3994130.48382215,2971780.39830576,206
559,2024-08-28,4006926.1757498,2963736.45774811,206
360,2024-08-29,3989831.81848776,2953807.3077321,207
381,2024-08-29,4020519.56443568,2965132.44194201,207
562,2024-08-29,3992036.09360106,2974633.60653534,207
396,2024-08-30,4017235.09477067,2942975.33327164,208
400,2024-08-31,3991679.97738133,2969044.18138027,209
392,2024-09-01,4008228.80480189,2939627.828976,210
430,2024-09-02,3994545.29789003,2928966.71323828,211
582,2024-09-02,4020317.9602902,2964902.00705126,211
432,2024-09-04,3997048.86203055,2982174.45250733,213
586,2024-09-04,3990211.35426104,2931470.19857824,213
413,2024-09-05,4006866.65768792,2970144.32716104,214
457,2024-09-07,4006302.87832268,2980552.22553427,216
494,2024-09-08,4008238.76486279,2946321.29953418,217
460,2024-09-10,3984062.46216169,2958617.83120544,219
475,2024-09-10,3991231.21712523,2953514.19527739,219
659,2024-09-11,4002144.16987343,2974268.0560249,220
702,2024-09-11,3996135.26169985,2981640.84479831,220
734,2024-09-11,4019181.13941519,2941972.74302635,220
486,2024-09-12,4007216.92940546,2968722.22519592,221
511,2024-09-15,3991862.54960113,2932866.43778638,224
535,2024-09-15,3994150.08117561,2952090.74573213,224
532,2024-09-16,4005508.44104784,2937791.20899899,225
545,2024-09-16,4017505.45134673,2957644.56701263,225
573,2024-09-16,3998596.07088006,2981165.45359568,225
641,2024-09-16,3986597.78267245,2961318.40158583,225
537,2024-09-17,4013639.8585144,2970602.87935957,226
554,2024-09-17,3995331.58264225,2980782.18050554,226
598,2024-09-17,4008585.50211553,2942078.74953945,226
510,2024-09-18,3997457.56039087,2948056.6541658,227
628,2024-09-18,3984374.21094973,2962061.56293177,227
576,2024-09-19,4014206.29913981,2968674.21218126,228
585,2024-09-19,3989695.711183,2974799.98965221,228
600,2024-09-19,4013796.47608703,2952090.00860386,228
606,2024-09-19,3998747.75900085,2978515.08732129,228
613,2024-09-19,3990259.02814863,2940642.24615667,228
580,2024-09-20,4011264.50696296,2931367.64530594,229
595,2024-09-20,3999892.87444773,2967281.86114473,229
557,2024-09-21,4010578.53198112,2986119.89015595,230
620,2024-09-21,3998687.91058534,2973298.25859862,230
546,2024-09-22,4005238.58365422,2946163.6975611,231
607,2024-09-23,3990935.51632767,2975255.70469102,232
614,2024-09-23,3995658.62841167,2963100.78276495,232
647,2024-09-23,3987308.17005316,2968066.18723251,232
849,2024-09-23,3987829.48711793,2961013.47576987,232
615,2024-09-24,3988330.87366324,2978263.85562449,233
633,2024-09-24,3993231.49957319,2975266.85531365,233
616,2024-09-25,4006076.26519996,2977964.97693753,234
627,2024-09-25,3998066.57136025,2966406.91596869,234
619,2024-09-26,3995023.34112772,2967307.0496963,235
696,2024-09-26,4010341.00918311,2964703.57713681,235
712,2024-09-27,4011170.89686283,2981863.22540684,236
726,2024-09-27,4001298.38034843,2924362.46684067,236
708,2024-09-28,3991552.15481651,2930297.09948485,237
732,2024-09-28,3983125.79977411,2961813.33686917,237
757,2024-09-28,4003890.73440592,2984537.43165463,237
690,2024-09-29,3982803.03211362,2954623.83220515,238
941,2024-09-29,4010346.72869592,2940862.61360876,238
693,2024-09-30,4010515.03082239,2939810.29697392,239
728,2024-09-30,3998911.37873861,2979250.85749193,239
951,2024-09-30,4009537.64385041,2988924.02645734,239
703,2024-10-01,3992683.97352896,2984554.14892765,240
845,2024-10-01,4013292.32153665,2975307.22055052,240
952,2024-10-01,4022186.57611552,2974352.47193946,240
1107,2024-10-01,3983851.16393451,2962468.20771585,240
724,2024-10-02,4016105.6611883,2977559.16670697,241
731,2024-10-02,4006826.3940956,2976762.73651282,241
840,2024-10-02,4014210.50956853,2964309.35188928,241
900,2024-10-02,3981683.30914108,2958490.55918356,241
1051,2024-10-02,3993294.7893376,2966354.07314449,241
783,2024-10-03,4025088.53964123,2963464.88518467,242
790,2024-10-03,3989152.33859402,2956550.70676797,242
745,2024-10-04,3985007.10326986,2959703.23855293,243
770,2024-10-04,4012041.49103653,2971996.74651041,243
714,2024-10-05,3992614.18377356,2933708.74851168,244
803,2024-10-05,3989494.47777533,2973387.70002766,244
808,2024-10-05,3995278.17722297,2938174.42193803,244
820,2024-10-05,3991238.35259154,2969891.0230946,244
821,2024-10-05,4008766.04648982,2972329.74991532,244
823,2024-10-05,3990853.66974048,2972850.3627002,244
1037,2024-10-05,4008429.69651233,2971377.23596225,244
762,2024-10-06,3988443.0125421,2942909.20385519,245
793,2024-10-07,4009603.07264244,2976698.93369711,246
824,2024-10-07,4026310.98216929,2963073.14401686,246
862,2024-10-07,4012025.64145555,2928549.90114659,246
927,2024-10-07,3988069.4646795,2974211.64802061,246
960,2024-10-07,4002628.99525483,2937692.31219174,246
1098,2024-10-07,4010606.052705,2980701.27081038,246
806,2024-10-08,4007191.16152735,2985838.86433408,247
905,2024-10-10,4009869.99254178,2966519.44680301,249
961,2024-10-10,4006221.56495582,2977148.24545076,249
1101,2024-10-10,4006917.05676802,2934713.73039825,249
1180,2024-10-10,4011445.19331666,2967135.81823994,249
836,2024-10-11,4002869.64274176,2977711.15593053,250
861,2024-10-11,4013427.86351171,2985974.0153495,250
896,2024-10-11,3986614.56859398,2982336.27763402,250
899,2024-10-11,4012122.19469183,2982911.84819373,250
926,2024-10-11,4005120.79233055,2979180.10177983,250
958,2024-10-11,3991273.24057985,2939782.02263805,250
982,2024-10-11,4010963.59252728,2985797.6826908,250
1137,2024-10-11,4024222.95773485,2958693.33946717,250
888,2024-10-12,3987018.95895433,2934427.93821799,251
919,2024-10-13,3987781.61352508,2957868.90651128,252
922,2024-10-13,4007608.93149977,2979383.84471758,252
1048,2024-10-13,3981226.82266957,2957877.72872808,252
1234,2024-10-13,3986027.26996424,2939364.47837589,252
967,2024-10-16,3988985.54733949,2960826.64138025,255
981,2024-10-16,4004101.97490433,2937381.91167086,255
956,2024-10-17,4015209.91833541,2952099.05584235,256
988,2024-10-17,3992803.11870036,2966164.65084749,256
1021,2024-10-17,3992703.56203016,2984469.12296647,256
879,2024-10-18,4021230.92681617,2954743.35988162,257
1016,2024-10-18,3993965.94288543,2948634.33517585,257
1115,2024-10-18,3986943.82846667,2971821.34614786,257
950,2024-10-19,3999302.85551482,2936423.47076991,258
1367,2024-10-19,3998822.37074106,2935247.22495058,258
1019,2024-10-20,3985384.87550656,2940833.54310864,259
1092,2024-10-20,3986943.46881187,2983232.77559032,259
1317,2024-10-20,4008268.85787292,2926088.51137568,259
1056,2024-10-21,4023817.73214833,2961710.01265685,260
1108,2024-10-21,4007425.15015315,2986919.44080399,260
1138,2024-10-21,4023733.28034475,2962423.74583327,260
1039,2024-10-22,3990531.89998597,2945546.25856462,261
1079,2024-10-22,4015149.32153062,2932815.09713075,261
1083,2024-10-22,3989543.06539781,2962662.84306771,261
1099,2024-10-22,3983998.551171,2969323.96095097,261
1080,2024-10-23,3989488.2980426,2933565.51522036,262
1087,2024-10-23,4030119.32356494,2963941.40646777,262
1156,2024-10-23,4007489.45364652,2962648.11290106,262
1161,2024-10-23,4009951.55782275,2978132.11316417,262
1114,2024-10-24,4001650.55108518,2977853.21954665,263
1191,2024-10-24,3992913.257533,2987546.60205499,263
1350,2024-10-24,4015019.22557001,2983764.10547948,263
1160,2024-10-25,4002763.96041756,2936436.07009797,264
1443,2024-10-25,3993564.65108358,2961905.77731727,264
1100,2024-10-26,3990145.13114499,2929120.23158768,265
1104,2024-10-26,3990128.90984624,2959224.3950276,265
1230,2024-10-26,4003459.6705243,2936314.73104675,265
1435,2024-10-26,3997039.91213157,2987210.29219706,265
1569,2024-10-26,3986431.7111348,2983222.40454417,265
1611,2024-10-26,3984803.6415367,2972651.81228047,265
1175,2024-10-27,4013521.60091253,2990842.08853969,266
1210,2024-10-27,3984486.93613808,2969718.11135691,266
1277,2024-10-27,4008917.30653943,2981969.49052825,266
1164,2024-10-28,3997731.25150276,2927613.71149802,267
1168,2024-10-28,3995724.43209095,2986688.60201477,267
1576,2024-10-28,4018080.46584655,2954118.39259018,267
