ID,collection_date,longitude,latitude
1,2024-02-04,4004015.87453204,2959204.8747457
2,2024-02-22,4003786.44531121,2955489.10320492
3,2024-03-08,4004857.0149496,2957774.01015125
4,2024-03-13,3999207.80693268,2956632.16415192
5,2024-03-27,4001154.06038463,2955775.87261358
6,2024-03-08,4003360.5942097,2959592.67804761
7,2024-03-19,4004491.47034784,2956130.95744542
8,2024-04-04,4004913.66857407,2956462.20035493
9,2024-04-03,4004753.03811635,2956843.38678319
10,2024-04-05,4007100.68957937,2957635.69419474
11,2024-04-13,3997326.69284519,2957709.41571068
12,2024-04-16,4005358.24506243,2951906.4194431
13,2024-04-22,3999797.82755249,2956499.39068066
14,2024-04-22,3998463.69936429,2954465.71324528
15,2024-04-24,3999394.73691364,2954719.23132906
16,2024-04-25,4010785.14423905,2951609.82972335
17,2024-04-28,3998007.19594794,2956876.69757812
18,2024-04-24,4000249.61958553,2962208.3002874
19,2024-04-28,4004944.13069709,2957362.24230009
20,2024-05-04,4004919.84275598,2953189.99353743
21,2024-04-29,4004401.29737393,2953396.3421205
22,2024-05-05,3999738.07909967,2953685.90333976
23,2024-05-09,4004047.79507976,2955629.5525917
24,2024-05-07,3997311.65170872,2960416.26324499
25,2024-05-08,3998083.09608978,2953763.76946501
26,2024-05-12,4002240.39712476,2953681.62294904
27,2024-04-30,4005718.99497437,2954558.09322802
28,2024-05-18,3998454.58830987,2951613.07043461
29,2024-05-11,4001049.0399243,2962251.72121653
30,2024-05-08,3997816.45926372,2952999.51168221
31,2024-05-20,4007100.57726421,2959537.53768526
32,2024-05-08,4008493.44286344,2954900.47085072
33,2024-05-22,3998290.41644349,2952002.22843319
34,2024-05-20,4009043.95356538,2954920.74939626
35,2024-05-23,3997083.42935616,2955313.41527246
36,2024-05-26,3998916.64319052,2951524.21773175
37,2024-05-26,3999861.92599174,2959776.65318213
38,2024-05-29,4002089.51775943,2953205.03239395
39,2024-05-27,4000606.11828541,2958833.56918938
40,2024-06-01,4004301.1251793,2953016.93290227
41,2024-05-21,4003317.17420966,2953976.14732886
42,2024-06-02,4006192.47931361,2956582.03639096
43,2024-05-17,4001458.59737403,2969273.78498018
44,2024-05-30,4009100.3621346,2959893.37556104
45,2024-06-01,4000258.79035522,2946756.72469094
46,2024-06-04,4004194.09333207,2959292.19391663
47,2024-06-02,4003218.12222241,2949226.52619506
48,2024-06-04,4009258.49709308,2956438.95691357
49,2024-05-30,4006582.35202476,2955423.41680072
50,2024-05-24,3996293.65175279,2955250.72058437
51,2024-06-10,4000047.02745364,2941771.64962448
52,2024-05-22,3997839.30451642,2958825.93799838
53,2024-06-11,3996588.46521925,2954843.69504811
54,2024-06-07,3998045.12484365,2956401.42015321
55,2024-06-12,4004520.18741182,2952825.68805946
56,2024-06-02,3997785.51538567,2954283.56554891
57,2024-06-13,4004064.77747011,2952036.44374035
58,2024-06-15,3994724.70816148,2954867.26011726
59,2024-06-02,4005376.01402185,2951788.83045587
60,2024-06-10,3998390.79419457,2958904.34016152
61,2024-06-03,3997435.77835574,2956565.71739422
62,2024-06-17,4001385.64074184,2955242.54695811
63,2024-05-28,4003062.81087576,2949363.69103745
64,2024-06-20,3998682.95591896,2953658.06044669
65,2024-06-16,4003472.49251228,2956491.54255715
66,2024-06-19,4004490.98834419,2953247.47241834
67,2024-06-17,3993178.40331176,2956674.60459947
68,2024-06-04,3992902.55809147,2956784.676532
69,2024-06-03,4003904.52361881,2958412.45470657
70,2024-06-11,4018766.38244958,2956884.70544322
71,2024-06-20,4001214.75089794,2952418.28135644
72,2024-06-22,4003743.82445429,2950003.71941047
73,2024-06-14,3998453.79102759,2955466.38960321
74,2024-06-20,4003603.85159183,2953457.30660417
75,2024-06-01,4004886.58484775,2959208.32331969
76,2024-06-19,4005328.58869262,2958259.0635619
77,2024-06-20,4005385.25024647,2954559.78676149
78,2024-06-27,3998108.2509167,2958494.57914191
79,2024-06-11,4001881.93498572,2954585.68103118
80,2024-06-22,3998696.90587119,2959708.26621889
81,2024-06-20,3997712.92887278,2954069.06673177
82,2024-06-16,3995253.56956071,2939775.18923357
83,2024-06-18,3998952.50530484,2946617.15239147
84,2024-06-28,4010252.54688073,2952863.02000281
85,2024-06-27,3996791.54592391,2941627.35632362
86,2024-06-14,4007202.64846915,2957015.9418098
87,2024-06-27,3999312.75559965,2970005.89258076
88,2024-06-14,4003962.86094233,2957440.26242922
89,2024-06-23,4005165.29092997,2952087.31849944
90,2024-06-27,4000710.98039732,2947068.75761802
91,2024-06-28,4012938.94445762,2957718.27587185
92,2024-06-30,3996602.02496248,2956012.43587233
93,2024-07-01,3996056.19450006,2942532.07092124
94,2024-06-20,3992893.37746849,2956419.16695592
95,2024-06-10,4004844.72206275,2951863.22659777
96,2024-06-28,3998155.10039076,2956012.0793146
97,2024-06-18,3999691.07010808,2955900.49143121
98,2024-06-25,3996806.74260886,2955077.3705615
99,2024-06-28,3993928.90436263,2956523.45053305
100,2024-06-13,3997584.93866929,2958348.31613269
101,2024-06-13,3994748.16878908,2955889.5550543
102,2024-06-30,4013745.97488032,2959891.28547392
103,2024-06-19,4005025.83086718,2954122.96150192
104,2024-07-02,4009191.53927837,2943808.66072702
105,2024-07-03,3998634.59023941,2959133.68844309
106,2024-07-04,4001101.38666416,2953713.47521704
107,2024-06-18,3996589.67745625,2941012.34995336
108,2024-06-29,4001966.92181369,2955988.64253571
109,2024-07-03,4008314.45476863,2956331.79674899
110,2024-07-12,3999011.52739727,2942180.11755362
111,2024-07-07,4001102.15077185,2954885.23481826
112,2024-06-26,4006093.21291253,2954423.70708239
113,2024-07-09,4004088.5956604,2956991.75785746
114,2024-07-09,4000874.25010114,2955689.18517426
115,2024-07-08,4014100.49896573,2959411.63460454
116,2024-06-23,4006077.65227222,2950773.07083653
117,2024-06-22,3998716.91144535,2958485.9829553
118,2024-07-09,4006300.70377464,2956654.1057023
119,2024-07-09,4011081.79596845,2957070.5446377
120,2024-06-26,3999901.46933237,2954005.52686726
121,2024-06-29,4006284.93118619,2942483.317914
122,2024-07-16,3999464.10536239,2958016.25301441
123,2024-07-01,4004318.18383025,2953303.16919859
124,2024-07-05,3999233.94677829,2935992.93415248
125,2024-07-19,4002488.67671627,2954073.78305134
126,2024-07-04,4007280.03903303,2954785.05422884
127,2024-07-09,4003363.19246101,2943761.98126568
128,2024-06-29,4003250.41002819,2956481.97648541
129,2024-07-12,3995094.7570978,2955309.05573003
130,2024-07-16,4006216.9699365,2968481.92373463
131,2024-06-28,4001585.99675503,2945189.21143254
132,2024-07-10,4005169.97089204,2952632.49838639
133,2024-07-16,3997832.25156374,2954611.98153646
134,2024-07-04,4001502.33892656,2944417.922414
135,2024-07-15,4008072.66745633,2944621.2381471
136,2024-07-14,4007168.73537244,2958789.54894614
137,2024-07-15,3999234.52363666,2956893.71694859
138,2024-07-08,3999382.99946248,2959264.10030632
139,2024-07-19,3997946.89801604,2957967.40730312
140,2024-07-06,4009071.97283088,2957438.79341202
141,2024-07-05,4011116.12340393,2958213.86834769
142,2024-07-17,4001333.04392862,2957254.01425492
143,2024-07-16,3999340.93696774,2946410.68867014
144,2024-07-07,4008955.46696904,2955468.97131439
145,2024-07-19,3994729.96264532,2952869.05316852
146,2024-07-21,4017075.7365826,2966590.20573313
147,2024-07-22,4014273.45134572,2959903.08823793
148,2024-06-30,3995101.74098418,2928985.25966628
149,2024-07-03,3996801.20185815,2971481.58842616
150,2024-06-27,3999952.13197397,2944612.24860791
151,2024-07-22,3997949.2613063,2943465.73189468
152,2024-07-20,4008567.75710747,2953583.95659625
153,2024-07-22,3997685.66369125,2955167.8795387
154,2024-07-22,4013148.86709656,2959842.40941435
155,2024-07-11,4000527.39660186,2953268.59560645
156,2024-07-20,4003042.27492463,2956317.75801494
157,2024-07-23,4001820.74234426,2953544.97343815
158,2024-07-25,4000675.77213213,2940133.85740593
159,2024-07-22,4009002.60089855,2954445.75131752
160,2024-07-23,4007596.47902012,2953714.52255864
161,2024-07-25,4005510.13960563,2956149.1380604
162,2024-07-25,3999004.42630167,2959134.80203251
163,2024-07-01,3998612.36308982,2957873.05428345
164,2024-07-27,4001649.94481031,2957331.01456705
165,2024-07-19,4006575.32534344,2955510.12392456
166,2024-07-16,4003589.66098318,2973677.89208441
167,2024-07-26,4001925.5808763,2954281.75043507
168,2024-07-28,3998839.91284205,2956445.08052302
169,2024-07-19,3999359.39281843,2952094.57753377
170,2024-07-26,3996923.91153796,2944216.68670943
171,2024-07-24,3993359.05750276,2929805.90267465
172,2024-07-12,3996886.54975174,2939832.82041541
173,2024-07-27,4004256.38462978,2956929.03948571
174,2024-07-18,4002549.94841373,2971259.73177072
175,2024-07-27,4000841.37742678,2970540.16468785
176,2024-07-29,3998076.07349931,2970402.69935248
177,2024-07-21,4007735.76430687,2956603.3603152
178,2024-07-30,4010522.78078105,2959509.84573294
179,2024-07-27,4002672.8118116,2952184.21508759
180,2024-08-02,4004455.77034201,2957385.71392954
181,2024-07-27,4005234.23195898,2943154.53892618
182,2024-07-07,3996018.22156569,2955591.04691646
183,2024-07-15,3998086.72984851,2955145.00424505
184,2024-07-20,3999787.56316093,2943858.80252458
185,2024-07-31,3998720.95112422,2940963.46928924
186,2024-07-24,4000912.48094622,2953078.90575498
187,2024-07-30,4014447.33194126,2958270.19570687
188,2024-08-03,4004683.8928147,2950783.38441733
189,2024-08-01,3999313.96502753,2960084.76069702
190,2024-08-02,4012127.09778721,2958558.06017651
191,2024-07-11,3998746.72846598,2945079.01544347
192,2024-07-15,4011179.32012716,2957199.71227534
193,2024-08-01,4000815.8209859,2956805.90175898
194,2024-08-02,4008746.09797612,2957711.78243588
195,2024-07-17,4008997.85458567,2955480.82357746
196,2024-08-01,4002202.65703325,2971600.87157646
197,2024-08-04,4006059.95672293,2955058.01587788
198,2024-08-03,4011448.55727561,2956910.82226071
199,2024-08-03,3997223.52916856,2956316.43379894
200,2024-08-05,4003925.1160913,2958691.39633827
201,2024-08-08,3995759.09453384,2955182.32022814
202,2024-08-05,3997681.46233685,2942742.78590953
203,2024-08-06,4002718.35748051,2960629.25788397
204,2024-07-16,4007216.63504209,2953726.09140147
205,2024-08-07,4016699.90744695,2951901.8700347
206,2024-07-31,4012883.15596618,2952890.18508883
207,2024-08-05,3998804.11209554,2970576.42629543
208,2024-07-28,4003306.04030231,2959439.61956531
209,2024-07-19,4003493.11001868,2967318.441359
210,2024-08-05,4001459.69394927,2944846.50270573
211,2024-08-07,3995807.20676253,2955285.73162709
212,2024-08-06,4001946.71935167,2952623.39012958
213,2024-07-17,3999005.96022823,2943340.845663
214,2024-08-04,3999793.80852923,2969952.60986363
215,2024-08-02,3997712.28195329,2971546.89154532
216,2024-08-09,3998204.42558831,2951430.07448195
217,2024-08-06,3997587.88461463,2941907.14069712
218,2024-07-21,4009780.4602782,2958282.39614283
219,2024-08-07,4006554.57468537,2958989.53439737
220,2024-08-06,4000735.98029594,2956835.44156429
221,2024-08-07,4006910.31019661,2956975.17177501
222,2024-08-03,3998089.49348494,2945095.54501212
223,2024-08-05,3998115.06377473,2944310.22047639
224,2024-08-07,4011836.87176653,2955667.65582796
225,2024-08-09,3997231.77368379,2953218.77633175
226,2024-08-08,4000075.57268929,2957225.85514954
227,2024-08-11,4016201.33001917,2964282.42367418
228,2024-07-22,4009961.42605251,2955524.34594108
229,2024-08-03,3995630.87757302,2943450.7547252
230,2024-08-13,3997809.27956849,2958526.68582184
231,2024-08-10,4007229.7245129,2954931.17913842
232,2024-08-11,3997448.6853494,2953766.67564409
233,2024-08-13,4014127.71226367,2961557.17865948
234,2024-08-10,3990325.65605972,2940329.95032417
235,2024-08-12,4007767.5726726,2958223.80266861
236,2024-07-19,4004467.32525765,2950923.31686375
237,2024-07-30,3998876.12930939,2940371.53390525
238,2024-08-09,3997464.9803803,2956194.74178533
239,2024-08-14,3996600.72025083,2944243.97910215
240,2024-08-14,3998247.74896952,2946166.48995517
241,2024-08-02,3999337.69032114,2955119.56269308
242,2024-08-09,4008241.83610607,2955492.44142085
243,2024-08-14,4014158.08976172,2961671.41962038
244,2024-08-16,4012581.23283015,2929628.68651766
245,2024-08-13,3990590.66083476,2935303.3886192
246,2024-08-13,3996114.02919338,2969343.20211402
247,2024-08-11,4006047.24893744,2954321.05838503
248,2024-08-13,4001720.59362937,2954411.85028734
249,2024-08-17,4011976.87979748,2952458.65547254
250,2024-08-12,4012411.9315981,2961325.89223127
251,2024-08-13,4003452.59516892,2951245.44821849
252,2024-08-02,4012330.73287957,2959202.45603531
253,2024-08-16,3997625.89119829,2945337.53269946
254,2024-08-09,4002183.03817188,2950181.82241807
255,2024-08-09,4012076.33846051,2944335.59458929
256,2024-08-16,4007383.15754149,2943666.35282168
257,2024-08-04,4003309.85313248,2974498.51617271
258,2024-08-01,4007060.41992657,2955877.7861412
259,2024-08-09,4002896.56449047,2971181.46248667
260,2024-08-20,4001104.0926353,2945076.52891729
261,2024-08-11,4000653.994479,2945437.68576466
262,2024-08-17,4022189.77501035,2953765.25235153
263,2024-08-12,3992890.46516612,2969166.01667972
264,2024-08-12,3989304.32277797,2951570.89389999
265,2024-08-17,3997766.16627321,2944064.20875787
266,2024-08-17,3995984.09476672,2954519.54135737
267,2024-08-17,4000861.63891468,2953936.47201185
268,2024-08-16,3999924.8656994,2940920.75018936
269,2024-08-17,4005500.54173646,2955576.98518997
270,2024-07-31,4007395.31633163,2955431.8506756
271,2024-08-18,4011688.51009132,2958524.42414655
272,2024-08-19,4003506.3381424,2950124.47095256
273,2024-08-16,4009701.33943948,2953144.70099087
274,2024-08-15,4002613.62061342,2954036.55201386
275,2024-08-16,4002252.65196274,2943744.09375093
276,2024-08-22,4017061.78233798,2966011.70938692
277,2024-08-10,4011249.50607686,2958284.65507662
278,2024-08-13,4004793.96441045,2954686.8255588
279,2024-08-23,4015852.96409059,2960166.85056592
280,2024-08-16,3999412.04545154,2955599.22742286
281,2024-08-11,4001266.83297054,2940845.88128308
282,2024-08-20,3998093.54182268,2959112.67596637
283,2024-08-20,4002270.65657107,2942001.82514808
284,2024-08-16,3996616.63638464,2942485.07915747
285,2024-08-16,4001368.06815136,2954531.51262467
286,2024-08-20,3997569.12509381,2939838.47408246
287,2024-08-22,4010102.37119193,2958333.16186747
288,2024-08-20,4001895.46347202,2957199.05547549
289,2024-08-17,3999166.80007503,2958943.46417847
290,2024-08-23,3999556.21397944,2954350.03479905
291,2024-08-16,4010223.63294113,2957430.70322904
292,2024-08-16,4005162.12679832,2955968.57736134
293,2024-07-30,4004144.8674398,2959360.64823344
294,2024-08-04,4001352.01549796,2953246.06233177
295,2024-08-12,4021262.53669021,2949362.74013131
296,2024-08-03,4023113.80806174,2968833.35852199
297,2024-08-18,4000368.47843783,2945356.83390206
298,2024-08-21,4003238.80206133,2955966.69539496
